Step 	Input 	Output 	K1 	K2 	K3 	K4 	K5 	M1 	M2 	S1 	S2 	S3 	S4 	S5 	Chi 	Psi 	M1 	M2 	TM 
83 : 	O ...xx	G .x.xx	2	29	3	9	19	44	15	1	37	28	36	12	.xxx.	..xx.	x	.	.
84 : 	W xx..x	E x....	3	30	4	10	20	45	16	1	37	28	36	12	.xxxx	..xx.	.	x	x
85 : 	S x.x..	H ..x.x	4	31	5	11	21	46	16	2	38	29	37	13	x.x.x	..x..	x	x	x
86 : 	V .xxxx	I .xx..	5	1	6	12	22	47	17	3	39	30	38	14	xx..x	xx.x.	x	.	x
87 : 	- xxxxx	R .x.x.	6	2	7	13	23	48	18	4	40	31	39	15	xxxx.	.x.xx	.	x	x
88 : 	4 .x...	N ..xx.	7	3	8	14	1	49	18	5	41	32	40	16	x.x..	xx.x.	.	x	x
89 : 	W xx..x	+ xx.xx	8	4	9	15	2	50	18	6	42	33	41	17	....x	...xx	x	x	x
90 : 	M ..xxx	+ xx.xx	9	5	10	16	3	51	19	7	43	34	42	18	.x.x.	x.xx.	x	.	x
91 : 	N ..xx.	. ..x..	10	6	11	17	4	52	20	8	44	35	43	19	.xxx.	.xx..	.	x	x
92 : 	/ .....	- xxxxx	11	7	12	18	5	53	20	9	45	36	44	20	.x...	x.xxx	.	x	x
93 : 	M ..xxx	- xxxxx	12	8	13	19	6	54	20	10	46	37	45	21	x...x	.x..x	.	x	x
94 : 	V .xxxx	I .xx..	13	9	14	20	7	55	20	11	47	38	46	22	xx.x.	xx..x	x	x	x
95 : 	I .xx..	M ..xxx	14	10	15	21	8	56	21	12	1	39	47	23	.x..x	...x.	x	x	x
96 : 	+ xx.xx	+ xx.xx	15	11	16	22	9	57	22	13	2	40	48	24	..x.x	..x.x	.	x	x
97 : 	/ .....	+ xx.xx	16	12	17	23	10	58	22	14	3	41	49	25	..xx.	xxx.x	.	x	x
98 : 	M ..xxx	. ..x..	17	13	18	24	11	59	22	15	4	42	50	26	..xx.	..x.x	.	x	x
99 : 	P .xx.x	- xxxxx	18	14	19	25	12	60	22	16	5	43	51	27	xx.xx	.x..x	.	x	x
100 : 	O ...xx	- xxxxx	19	15	20	26	13	61	22	17	6	44	52	28	...x.	xxxx.	x	x	x
101 : 	U xxx..	H ..x.x	20	16	21	1	14	1	23	18	7	45	53	29	xxx..	..x.x	x	.	x
102 : 	- xxxxx	E x....	21	17	22	2	15	2	24	19	8	46	1	30	x.x..	xx.xx	x	x	x
103 : 	X x.xxx	I .xx..	22	18	23	3	16	3	25	20	9	47	2	31	.x.xx	x....	x	.	x
104 : 	N ..xx.	N ..xx.	23	19	24	4	17	4	26	21	10	48	3	32	.xxxx	.xxxx	.	x	x
105 : 	S x.x..	Z x...x	24	20	25	5	18	5	26	22	11	49	4	33	x.x.x	x....	x	x	x
106 : 	O ...xx	+ xx.xx	25	21	26	6	19	6	27	23	12	50	5	34	.....	xx...	.	.	x
107 : 	K xxxx.	+ xx.xx	26	22	27	7	20	7	27	24	13	51	6	35	...xx	..xx.	x	.	x
108 : 	M ..xxx	. ..x..	27	23	28	8	21	8	28	25	14	1	7	36	xxx.x	xxxx.	x	x	x
109 : 	L .x..x	- xxxxx	28	24	29	9	22	9	29	26	15	2	8	37	x.xxx	....x	.	.	.
110 : 	U xxx..	- xxxxx	29	25	1	10	23	10	29	26	15	2	8	37	...x.	....x	.	.	x
111 : 	4 .x...	N ..xx.	30	26	2	11	1	11	29	27	16	3	9	38	x....	xxxx.	x	.	x
112 : 	L .x..x	I .xx..	31	27	3	12	2	12	30	28	17	4	10	39	..x.x	.....	x	x	x
113 : 	M ..xxx	X x.xxx	32	28	4	13	3	13	31	29	18	5	11	40	xxxx.	.xxx.	.	.	x
114 : 	X x.xxx	D x..x.	33	29	5	14	4	14	31	30	19	6	12	41	xxx..	xx..x	.	.	.
115 : 	D x..x.	O ...xx	34	30	6	15	5	15	31	30	19	6	12	41	.x...	xx..x	x	.	.
116 : 	. ..x..	R .x.x.	35	31	7	16	6	16	32	30	19	6	12	41	x.xxx	xx..x	x	x	x
117 : 	C .xxx.	F x.xx.	36	1	8	17	7	17	33	31	20	7	13	42	.xxx.	x.xx.	.	.	x
118 : 	3 ...x.	+ xx.xx	37	2	9	18	8	18	33	32	21	8	14	43	xx..x	.....	.	.	.
119 : 	R .x.x.	+ xx.xx	38	3	10	19	9	19	33	32	21	8	14	43	x...x	.....	.	.	.
120 : 	D x..x.	. ..x..	39	4	11	20	10	20	33	32	21	8	14	43	x.xx.	.....	x	.	x
121 : 	A xx...	- xxxxx	40	5	12	21	11	21	34	33	22	9	15	44	xx...	xxxxx	x	x	x
122 : 	V .xxxx	- xxxxx	41	6	13	22	12	22	35	34	23	10	16	45	.x..x	xx..x	x	.	.
123 : 	S x.x..	M ..xxx	1	7	14	23	13	23	36	34	23	10	16	45	.x.x.	xx..x	x	x	x
124 : 	4 .x...	U xxx..	2	8	15	24	14	24	37	35	24	11	17	46	...x.	x.xx.	.	.	.
125 : 	I .xx..	S x.x..	3	9	16	25	15	25	37	35	24	11	17	46	.xxx.	x.xx.	x	.	x
126 : 	N ..xx.	E x....	4	10	17	26	16	26	1	36	25	12	18	47	xxxxx	.x..x	.	x	x
127 : 	C .xxx.	U xxx..	5	11	18	1	17	27	1	37	26	13	19	48	x.x.x	..xxx	x	x	x
128 : 	. ..x..	M ..xxx	6	12	19	2	18	28	2	38	27	14	20	49	x...x	x..x.	x	.	x
129 : 	K xxxx.	S x.x..	7	13	20	3	19	29	3	39	28	15	21	50	x..x.	xx...	.	x	x
130 : 	C .xxx.	F x.xx.	8	14	21	4	20	30	3	40	29	16	22	51	.xxxx	x.xxx	x	x	x
131 : 	V .xxxx	O ...xx	9	15	22	5	21	31	4	41	30	17	23	52	..x.x	.x..x	x	x	x
132 : 	G .x.xx	R .x.x.	10	16	23	6	22	32	5	42	31	18	24	53	.x..x	.x...	.	x	x
133 : 	F x.xx.	U xxx..	11	17	24	7	23	33	5	43	32	19	25	54	..xx.	.xx..	.	x	x
134 : 	F x.xx.	M ..xxx	12	18	25	8	1	34	5	1	33	20	26	55	xxx..	.xx.x	.	x	x
135 : 	3 ...x.	+ xx.xx	13	19	26	9	2	35	5	2	34	21	27	56	xx.xx	...x.	x	x	x
136 : 	C .xxx.	+ xx.xx	14	20	27	10	3	36	6	3	35	22	28	57	...x.	x.xxx	x	.	.
137 : 	Z x...x	3 ...x.	15	21	28	11	4	37	7	3	35	22	28	57	..x..	x.xxx	.	x	x
138 : 	- xxxxx	+ xx.xx	16	22	29	12	5	38	7	4	36	23	29	58	..x..	.....	.	x	x
