Step 	Input 	Output 	K1 	K2 	K3 	K4 	K5 	M1 	M2 	S1 	S2 	S3 	S4 	S5 	Chi 	Psi 	M1 	M2 	TM 
100 : 	I .xx..	R .x.x.	19	9	21	3	14	57	29	43	10	43	46	43	.xxx.	.x...	.	.	x
101 : 	T ....x	A xx...	20	10	22	4	15	58	29	1	11	44	47	44	xxxx.	..xxx	.	.	.
102 : 	R .x.x.	U xxx..	21	11	23	5	16	59	29	1	11	44	47	44	x...x	..xxx	.	.	.
103 : 	F x.xx.	S x.x..	22	12	24	6	17	60	29	1	11	44	47	44	..x.x	..xxx	.	.	x
104 : 	K xxxx.	S x.x..	23	13	25	7	18	61	29	2	12	45	48	45	..xxx	.xx.x	x	.	x
105 : 	L .x..x	T ....x	24	14	26	8	19	1	30	3	13	46	49	46	xx...	x....	x	x	x
106 : 	J xx.x.	E x....	25	15	27	9	20	2	31	4	14	47	50	47	...xx	.x..x	x	.	.
107 : 	V .xxxx	L .x..x	26	16	28	10	21	3	32	4	14	47	50	47	.xxxx	.x..x	x	x	x
108 : 	L .x..x	L .x..x	27	17	29	11	22	4	33	5	15	48	51	48	x.x.x	x.x.x	.	.	.
109 : 	Z x...x	U xxx..	28	18	1	12	23	5	33	5	15	48	51	48	xx...	x.x.x	x	.	x
110 : 	N ..xx.	N ..xx.	29	19	2	13	1	6	34	6	16	49	52	49	.x.x.	.x.x.	.	x	x
111 : 	C .xxx.	G .x.xx	30	20	3	14	2	7	34	7	17	50	53	50	x.x.x	x....	x	x	x
112 : 	E x....	+ xx.xx	31	21	4	15	3	8	35	8	18	51	1	51	..x..	.xxxx	x	.	x
113 : 	E x....	+ xx.xx	32	22	5	16	4	9	36	9	19	1	2	52	x.xx.	xxx.x	.	x	x
114 : 	T ....x	W xx..x	33	23	6	17	5	10	36	10	20	2	3	53	xx.x.	...x.	.	x	x
115 : 	E x....	T ....x	34	24	7	18	6	11	36	11	21	3	4	54	..x.x	x.x..	x	x	x
116 : 	J xx.x.	M ..xxx	35	25	8	19	7	12	37	12	22	4	5	55	x.x..	.x..x	x	.	x
117 : 	F x.xx.	+ xx.xx	36	26	9	20	8	13	1	13	23	5	6	56	...xx	.xxx.	.	x	x
118 : 	W xx..x	+ xx.xx	37	27	10	21	9	14	1	14	24	6	7	57	x...x	x..xx	.	x	x
119 : 	S x.x..	. ..x..	38	28	11	22	10	15	1	15	25	7	8	58	xxx..	.xx..	x	x	x
120 : 	N ..xx.	- xxxxx	39	29	12	23	11	16	2	16	26	8	9	59	xx.x.	...xx	x	.	.
121 : 	M ..xxx	- xxxxx	40	30	13	24	12	17	3	16	26	8	9	59	xx.xx	...xx	.	x	x
